Sales Person,Country,Product,Date,Amount,Boxes Shipped
Curtice Advani,Canada,Spicy Special Slims,2022-06-16,$854.00 ,118
Oby Sorrel,India,Raspberry Choco,2022-04-14,"$6,832.00 ",46
Kelci Walkden,UK,Eclairs,2022-01-25,"$4,606.00 ",57
Jan Morforth,India,Almond Choco,2022-03-11,"$4,466.00 ",22
Dotty Strutley,UK,Almond Choco,2022-07-28,"$16,114.00 ",96
Marney O'Breen,New Zealand,After Nines,2022-03-09,"$1,561.00 ",44
Husein Augar,Australia,Orange Choco,2022-06-28,"$8,897.00 ",188
Marney O'Breen,Australia,Milk Bars,2022-07-28,"$2,464.00 ",387
Kelci Walkden,Canada,99% Dark & Pure,2022-08-15,"$4,830.00 ",50
Kaine Padly,Australia,Manuka Honey Choco,2022-01-12,"$2,765.00 ",264
Beverie Moffet,New Zealand,White Choc,2022-03-24,"$7,126.00 ",7
Van Tuxwell,UK,Milk Bars,2022-07-25,"$4,263.00 ",90
Oby Sorrel,Canada,99% Dark & Pure,2022-08-01,"$3,605.00 ",403
Van Tuxwell,India,Organic Choco Syrup,2022-05-16,"$19,929.00 ",174
Roddy Speechley,India,Smooth Sliky Salty,2022-08-10,"$5,103.00 ",140
Jan Morforth,India,Eclairs,2022-01-05,"$2,541.00 ",27
Ches Bonnell,UK,Smooth Sliky Salty,2022-07-11,"$5,663.00 ",110
Wilone O'Kielt,USA,After Nines,2022-04-25,$392.00 ,30
Gigi Bohling,New Zealand,Fruit & Nut Bars,2022-04-04,"$10,976.00 ",121
Barr Faughny,USA,Raspberry Choco,2022-04-12,"$9,282.00 ",101
Wilone O'Kielt,New Zealand,85% Dark Bars,2022-08-02,"$1,827.00 ",117
Gigi Bohling,New Zealand,Manuka Honey Choco,2022-06-28,"$8,267.00 ",272
Ches Bonnell,Australia,Eclairs,2022-07-05,"$4,116.00 ",128
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,2022-06-07,"$2,093.00 ",45
Brien Boise,New Zealand,Smooth Sliky Salty,2022-01-18,"$1,015.00 ",27
Brien Boise,Australia,Baker's Choco Chips,2022-01-04,"$12,516.00 ",212
Dennison Crosswaite,Australia,99% Dark & Pure,2022-01-31,"$2,758.00 ",18
Kelci Walkden,India,Almond Choco,2022-03-14,"$3,297.00 ",149
Camilla Castle,Australia,70% Dark Bites,2022-04-29,"$6,048.00 ",477
Oby Sorrel,India,Smooth Sliky Salty,2022-02-07,"$10,101.00 ",108
Kaine Padly,UK,Organic Choco Syrup,2022-03-31,"$2,282.00 ",178
Marney O'Breen,India,Caramel Stuffed Bars,2022-03-16,"$4,361.00 ",81
Karlen McCaffrey,UK,Eclairs,2022-01-25,"$7,798.00 ",196
Van Tuxwell,India,Baker's Choco Chips,2022-06-20,"$3,052.00 ",447
Gigi Bohling,UK,After Nines,2022-03-29,"$8,029.00 ",175
Curtice Advani,Australia,Orange Choco,2022-07-12,$854.00 ,136
Jehu Rudeforth,Canada,Smooth Sliky Salty,2022-07-11,"$5,460.00 ",138
Karlen McCaffrey,Canada,Smooth Sliky Salty,2022-01-19,"$3,017.00 ",184
Andria Kimpton,USA,85% Dark Bars,2022-04-05,"$8,911.00 ",82
Jehu Rudeforth,Canada,Milk Bars,2022-02-21,"$7,203.00 ",12
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,2022-05-20,"$13,083.00 ",14
Mallorie Waber,Australia,Milk Bars,2022-07-29,"$2,779.00 ",104
Barr Faughny,USA,Fruit & Nut Bars,2022-01-28,"$9,058.00 ",46
Marney O'Breen,UK,Caramel Stuffed Bars,2022-07-19,"$3,549.00 ",112
Mallorie Waber,New Zealand,Manuka Honey Choco,2022-04-13,"$9,436.00 ",11
Roddy Speechley,India,Peanut Butter Cubes,2022-02-11,"$10,283.00 ",21
Roddy Speechley,New Zealand,Milk Bars,2022-03-02,"$5,446.00 ",116
Ches Bonnell,Australia,White Choc,2022-03-02,"$1,043.00 ",202
Van Tuxwell,USA,99% Dark & Pure,2022-07-28,"$12,586.00 ",6
Kelci Walkden,India,After Nines,2022-01-07,"$1,687.00 ",520
Brien Boise,UK,White Choc,2022-04-12,"$5,299.00 ",167
Van Tuxwell,Canada,Almond Choco,2022-06-27,"$3,213.00 ",72
Jehu Rudeforth,Australia,50% Dark Bites,2022-01-14,"$5,194.00 ",418
Karlen McCaffrey,UK,Baker's Choco Chips,2022-02-07,"$4,753.00 ",389
Jehu Rudeforth,Australia,Orange Choco,2022-03-23,"$13,706.00 ",26
Marney O'Breen,India,Peanut Butter Cubes,2022-01-10,"$6,489.00 ",146
Oby Sorrel,UK,Choco Coated Almonds,2022-03-17,"$9,324.00 ",41
Gigi Bohling,USA,Spicy Special Slims,2022-01-21,"$10,829.00 ",54
Barr Faughny,Australia,White Choc,2022-07-04,"$8,113.00 ",370
Kaine Padly,Canada,Peanut Butter Cubes,2022-07-04,"$3,269.00 ",176
Dotty Strutley,USA,Manuka Honey Choco,2022-08-10,$273.00 ,210
Dennison Crosswaite,Australia,50% Dark Bites,2022-04-01,"$7,287.00 ",12
Gigi Bohling,India,Raspberry Choco,2022-02-22,"$2,583.00 ",159
Camilla Castle,UK,White Choc,2022-01-03,"$9,982.00 ",187
Karlen McCaffrey,India,Drinking Coco,2022-05-31,"$4,795.00 ",233
Dotty Strutley,UK,99% Dark & Pure,2022-01-03,"$9,310.00 ",282
Husein Augar,New Zealand,Caramel Stuffed Bars,2022-01-27,$497.00 ,475
Barr Faughny,UK,50% Dark Bites,2022-01-28,$581.00 ,65
Curtice Advani,Australia,Organic Choco Syrup,2022-06-28,"$3,472.00 ",311
Husein Augar,UK,Choco Coated Almonds,2022-03-02,"$4,333.00 ",43
Wilone O'Kielt,Australia,After Nines,2022-05-27,"$3,325.00 ",26
Dennison Crosswaite,USA,Almond Choco,2022-06-30,"$11,718.00 ",84
Barr Faughny,Canada,Peanut Butter Cubes,2022-06-07,"$2,100.00 ",78
Kaine Padly,USA,70% Dark Bites,2022-05-12,"$4,018.00 ",100
Barr Faughny,New Zealand,Raspberry Choco,2022-07-29,"$6,468.00 ",66
Dennison Crosswaite,UK,White Choc,2022-08-03,"$7,238.00 ",265
Barr Faughny,India,Baker's Choco Chips,2022-08-18,"$6,454.00 ",141
Van Tuxwell,New Zealand,Smooth Sliky Salty,2022-06-14,"$3,115.00 ",42
Beverie Moffet,UK,White Choc,2022-06-30,"$6,475.00 ",76
Camilla Castle,New Zealand,Mint Chip Choco,2022-06-13,"$1,162.00 ",190
Ches Bonnell,UK,Orange Choco,2022-04-27,"$14,238.00 ",54
Jan Morforth,Australia,White Choc,2022-07-27,"$3,472.00 ",32
Mallorie Waber,Canada,85% Dark Bars,2022-04-20,"$1,428.00 ",424
Rafaelita Blaksland,India,Spicy Special Slims,2022-01-04,"$8,064.00 ",134
Ches Bonnell,Australia,Mint Chip Choco,2022-02-21,"$9,660.00 ",92
Karlen McCaffrey,Australia,White Choc,2022-01-05,"$7,357.00 ",48
Beverie Moffet,India,Drinking Coco,2022-07-15,"$6,055.00 ",46
Brien Boise,Australia,Choco Coated Almonds,2022-05-25,"$5,124.00 ",62
Karlen McCaffrey,Canada,Eclairs,2022-04-20,"$3,479.00 ",358
Gigi Bohling,USA,99% Dark & Pure,2022-06-02,$784.00 ,249
Marney O'Breen,UK,Smooth Sliky Salty,2022-05-13,"$18,991.00 ",88
Beverie Moffet,New Zealand,Baker's Choco Chips,2022-08-03,"$1,372.00 ",144
Beverie Moffet,Australia,Milk Bars,2022-05-25,$735.00 ,390
Van Tuxwell,UK,Raspberry Choco,2022-03-16,"$6,538.00 ",79
Jan Morforth,Australia,Orange Choco,2022-07-04,"$3,199.00 ",122
Jehu Rudeforth,India,50% Dark Bites,2022-07-05,"$3,472.00 ",135
Madelene Upcott,USA,After Nines,2022-03-15,"$4,571.00 ",430
Barr Faughny,UK,Raspberry Choco,2022-08-22,"$5,481.00 ",69
Ches Bonnell,Australia,70% Dark Bites,2022-01-12,"$3,136.00 ",125
Marney O'Breen,UK,Baker's Choco Chips,2022-06-10,$252.00 ,154
Kaine Padly,Australia,Peanut Butter Cubes,2022-03-25,"$5,460.00 ",286
Rafaelita Blaksland,India,Almond Choco,2022-07-27,"$3,395.00 ",99
Husein Augar,UK,Caramel Stuffed Bars,2022-04-15,"$14,938.00 ",433
Roddy Speechley,India,Orange Choco,2022-06-27,"$4,053.00 ",19
Jehu Rudeforth,UK,70% Dark Bites,2022-04-14,"$5,565.00 ",258
Husein Augar,Australia,Manuka Honey Choco,2022-03-15,"$7,161.00 ",92
Madelene Upcott,USA,Eclairs,2022-03-18,"$8,883.00 ",200
Brien Boise,India,Eclairs,2022-04-29,"$1,351.00 ",61
Mallorie Waber,New Zealand,White Choc,2022-02-25,"$3,171.00 ",246
Husein Augar,USA,Milk Bars,2022-03-02,$854.00 ,56
Van Tuxwell,Australia,Milk Bars,2022-06-20,"$7,910.00 ",87
Beverie Moffet,Canada,White Choc,2022-07-15,"$9,275.00 ",173
Dotty Strutley,Australia,50% Dark Bites,2022-05-12,"$3,108.00 ",252
Mallorie Waber,New Zealand,Organic Choco Syrup,2022-07-01,"$5,075.00 ",256
Husein Augar,USA,85% Dark Bars,2022-08-08,$378.00 ,54
Madelene Upcott,Australia,50% Dark Bites,2022-07-25,"$7,350.00 ",6
Wilone O'Kielt,UK,Drinking Coco,2022-05-18,"$3,388.00 ",55
Camilla Castle,India,Peanut Butter Cubes,2022-07-15,"$11,837.00 ",277
Curtice Advani,India,70% Dark Bites,2022-07-05,"$2,282.00 ",44
Mallorie Waber,USA,Manuka Honey Choco,2022-07-04,"$5,425.00 ",96
Dotty Strutley,UK,70% Dark Bites,2022-06-20,"$1,267.00 ",216
Gunar Cockshoot,Australia,Almond Choco,2022-01-25,"$3,752.00 ",424
Kaine Padly,New Zealand,Spicy Special Slims,2022-07-01,"$7,728.00 ",37
Gigi Bohling,USA,50% Dark Bites,2022-04-13,"$2,296.00 ",59
Beverie Moffet,UK,Smooth Sliky Salty,2022-05-04,"$4,403.00 ",76
Beverie Moffet,Australia,Baker's Choco Chips,2022-08-04,"$3,192.00 ",109
Beverie Moffet,India,70% Dark Bites,2022-06-01,$448.00 ,146
Jehu Rudeforth,UK,Choco Coated Almonds,2022-04-22,"$4,270.00 ",185
Kaine Padly,USA,50% Dark Bites,2022-08-03,$70.00 ,27
Ches Bonnell,USA,Orange Choco,2022-06-10,"$1,743.00 ",69
Gunar Cockshoot,UK,Manuka Honey Choco,2022-06-27,"$6,762.00 ",46
Marney O'Breen,Australia,Smooth Sliky Salty,2022-01-03,"$3,745.00 ",170
Marney O'Breen,India,After Nines,2022-07-11,"$2,639.00 ",179
Ches Bonnell,New Zealand,Milk Bars,2022-08-17,"$4,389.00 ",126
Rafaelita Blaksland,USA,Fruit & Nut Bars,2022-01-18,"$2,604.00 ",65
Ches Bonnell,India,Organic Choco Syrup,2022-03-08,"$16,569.00 ",99
Mallorie Waber,Australia,Orange Choco,2022-03-07,"$14,658.00 ",275
Husein Augar,India,70% Dark Bites,2022-05-09,"$6,454.00 ",157
Barr Faughny,New Zealand,85% Dark Bars,2022-05-23,"$2,100.00 ",157
Madelene Upcott,UK,Caramel Stuffed Bars,2022-04-15,$161.00 ,145
Gigi Bohling,Australia,Drinking Coco,2022-07-27,"$2,807.00 ",139
Marney O'Breen,Canada,Choco Coated Almonds,2022-08-22,"$2,639.00 ",406
Ches Bonnell,USA,70% Dark Bites,2022-05-11,"$4,571.00 ",122
Madelene Upcott,India,Organic Choco Syrup,2022-01-26,"$4,781.00 ",38
Barr Faughny,USA,50% Dark Bites,2022-04-14,"$13,034.00 ",117
Dennison Crosswaite,New Zealand,Mint Chip Choco,2022-04-05,"$6,454.00 ",417
Marney O'Breen,New Zealand,Smooth Sliky Salty,2022-06-14,"$8,484.00 ",57
Brien Boise,Canada,Almond Choco,2022-04-13,"$4,781.00 ",125
Beverie Moffet,Australia,White Choc,2022-06-27,"$2,240.00 ",166
Dotty Strutley,Australia,Eclairs,2022-01-26,"$6,979.00 ",3
Barr Faughny,UK,White Choc,2022-07-05,"$1,652.00 ",72
Beverie Moffet,Canada,Baker's Choco Chips,2022-01-11,"$13,447.00 ",95
Kelci Walkden,USA,White Choc,2022-03-07,"$9,422.00 ",22
Kaine Padly,Canada,50% Dark Bites,2022-03-04,"$8,687.00 ",100
Karlen McCaffrey,Canada,Organic Choco Syrup,2022-07-15,"$2,415.00 ",312
Kaine Padly,UK,Peanut Butter Cubes,2022-05-11,"$6,272.00 ",86
Karlen McCaffrey,USA,Milk Bars,2022-01-27,"$4,389.00 ",7
Karlen McCaffrey,India,Orange Choco,2022-06-27,"$3,122.00 ",149
Ches Bonnell,India,Smooth Sliky Salty,2022-08-03,"$8,043.00 ",18
Wilone O'Kielt,New Zealand,Mint Chip Choco,2022-08-19,"$11,662.00 ",242
Wilone O'Kielt,Australia,Fruit & Nut Bars,2022-06-15,$392.00 ,102
Dennison Crosswaite,UK,Peanut Butter Cubes,2022-02-07,"$8,925.00 ",158
Karlen McCaffrey,Australia,Almond Choco,2022-07-08,"$7,294.00 ",128
Dennison Crosswaite,India,Milk Bars,2022-04-21,"$1,526.00 ",96
Ches Bonnell,UK,Mint Chip Choco,2022-04-08,"$2,688.00 ",209
Husein Augar,Australia,50% Dark Bites,2022-08-19,"$14,889.00 ",52
Jan Morforth,India,Fruit & Nut Bars,2022-05-04,"$2,912.00 ",55
Mallorie Waber,USA,85% Dark Bars,2022-05-11,"$2,632.00 ",108
Mallorie Waber,USA,Eclairs,2022-03-22,"$6,328.00 ",51
Dennison Crosswaite,Canada,Spicy Special Slims,2022-08-10,"$2,527.00 ",216
Dennison Crosswaite,USA,Fruit & Nut Bars,2022-05-04,"$1,414.00 ",318
Kelci Walkden,USA,99% Dark & Pure,2022-08-18,"$7,714.00 ",238
Dotty Strutley,Canada,Raspberry Choco,2022-08-03,"$4,347.00 ",238
Marney O'Breen,New Zealand,Milk Bars,2022-01-14,"$7,490.00 ",315
Madelene Upcott,Australia,Choco Coated Almonds,2022-04-08,"$2,058.00 ",72
Kelci Walkden,UK,Orange Choco,2022-08-01,"$3,640.00 ",3
Dennison Crosswaite,Canada,Eclairs,2022-03-15,$455.00 ,45
Karlen McCaffrey,India,Mint Chip Choco,2022-07-15,"$10,990.00 ",184
Barr Faughny,New Zealand,Almond Choco,2022-01-13,"$5,558.00 ",127
Mallorie Waber,Australia,85% Dark Bars,2022-08-26,"$2,541.00 ",53
Ches Bonnell,Canada,Eclairs,2022-01-10,"$1,876.00 ",172
Gigi Bohling,Australia,White Choc,2022-05-11,"$5,523.00 ",87
Beverie Moffet,New Zealand,85% Dark Bars,2022-08-30,"$11,200.00 ",22
Kaine Padly,USA,Caramel Stuffed Bars,2022-07-21,"$5,593.00 ",122
Mallorie Waber,Australia,Almond Choco,2022-08-01,"$7,882.00 ",125
Brien Boise,Canada,85% Dark Bars,2022-02-17,"$10,241.00 ",259
Brien Boise,Australia,Drinking Coco,2022-07-27,"$6,832.00 ",156
Dotty Strutley,USA,Orange Choco,2022-02-23,"$1,379.00 ",107
Rafaelita Blaksland,Australia,50% Dark Bites,2022-03-22,"$3,010.00 ",40
Dennison Crosswaite,India,99% Dark & Pure,2022-06-23,"$6,888.00 ",311
Curtice Advani,UK,White Choc,2022-02-01,"$1,540.00 ",73
Kelci Walkden,Australia,After Nines,2022-03-02,"$6,916.00 ",288
Gigi Bohling,UK,Fruit & Nut Bars,2022-04-06,"$1,232.00 ",86
Gunar Cockshoot,Australia,Raspberry Choco,2022-03-17,$602.00 ,72
Curtice Advani,UK,Fruit & Nut Bars,2022-06-24,"$10,927.00 ",136
Barr Faughny,Canada,50% Dark Bites,2022-07-19,"$10,185.00 ",303
Curtice Advani,USA,Spicy Special Slims,2022-07-11,"$1,603.00 ",264
Brien Boise,India,Almond Choco,2022-01-13,"$2,170.00 ",218
Oby Sorrel,New Zealand,Smooth Sliky Salty,2022-07-07,"$8,673.00 ",60
Jan Morforth,India,85% Dark Bars,2022-05-25,"$4,760.00 ",418
Marney O'Breen,India,Fruit & Nut Bars,2022-04-13,"$4,753.00 ",151
Andria Kimpton,New Zealand,50% Dark Bites,2022-03-02,"$3,374.00 ",202
Gunar Cockshoot,Canada,Raspberry Choco,2022-06-23,"$2,058.00 ",126
Kelci Walkden,USA,Drinking Coco,2022-07-26,"$6,454.00 ",160
Van Tuxwell,Canada,White Choc,2022-03-22,$420.00 ,3
Rafaelita Blaksland,USA,Baker's Choco Chips,2022-06-09,"$2,863.00 ",58
Van Tuxwell,Australia,Caramel Stuffed Bars,2022-05-17,"$5,936.00 ",59
Ches Bonnell,New Zealand,Peanut Butter Cubes,2022-03-04,$889.00 ,273
Kelci Walkden,Canada,Milk Bars,2022-07-07,"$16,016.00 ",28
Dennison Crosswaite,Canada,Choco Coated Almonds,2022-01-13,"$10,479.00 ",118
Curtice Advani,Australia,Almond Choco,2022-07-13,"$2,912.00 ",75
Madelene Upcott,Australia,85% Dark Bars,2022-06-16,"$1,575.00 ",329
Gigi Bohling,UK,50% Dark Bites,2022-07-18,"$8,197.00 ",69
Ches Bonnell,UK,Manuka Honey Choco,2022-05-30,"$4,221.00 ",395
Gigi Bohling,UK,70% Dark Bites,2022-06-21,$840.00 ,81
Jehu Rudeforth,Australia,Peanut Butter Cubes,2022-06-24,"$5,691.00 ",38
Marney O'Breen,India,Eclairs,2022-01-13,"$3,472.00 ",96
Curtice Advani,Canada,Fruit & Nut Bars,2022-04-04,"$4,193.00 ",195
Kaine Padly,UK,Smooth Sliky Salty,2022-06-08,"$9,016.00 ",554
Karlen McCaffrey,Canada,Spicy Special Slims,2022-08-02,"$6,328.00 ",47
Kelci Walkden,USA,Organic Choco Syrup,2022-07-21,"$9,870.00 ",152
Curtice Advani,India,Spicy Special Slims,2022-06-20,$161.00 ,134
